Object Tracking Data File Wed, Jan 31, 2024 3:38 PM
X (pixels)  	Y (pixels)  
117.14	111.26
119.18	114.35
116.19	109.50
115.27	101.12
122.37	106.73
120.49	113.10
114.57	115.52
117.30	115.76
118.60	117.16
115.74	120.21
117.32	120.02
115.22	120.94
112.92	117.36
109.92	114.13
112.15	117.31
113.03	110.57
107.80	105.89
107.88	106.07
106.12	104.76
106.82	99.70
104.14	99.15
105.77	98.99
110.34	99.37
109.49	99.98
110.01	93.33
107.98	98.10
106.54	97.06
105.63	93.72
105.31	95.99
105.35	100.65
109.68	99.05
103.81	97.70
97.95	95.93
95.95	103.03
93.92	106.22
91.39	109.10
90.91	110.22
83.97	117.73
82.10	116.73
77.53	110.67
77.32	115.42
71.91	116.49
72.70	122.03
69.05	118.21
66.07	116.78
66.29	120.40
63.62	126.11
64.95	126.39
65.79	121.49
66.75	117.61
70.56	115.32
73.60	112.71
80.13	111.37
76.76	113.38
70.68	115.50
72.57	118.87
67.37	115.87
60.54	119.61
53.01	116.40
50.27	113.17
55.14	115.88
59.15	119.92
63.03	125.18
69.95	123.25
72.27	129.11
71.94	129.20
71.58	124.01
76.11	125.95
77.34	126.26
83.72	130.49
91.29	141.85
88.18	144.97
90.04	146.05
85.71	147.04
87.34	142.27
93.47	154.61
91.30	155.03
90.86	154.30
97.60	156.67
99.89	155.51
99.01	156.27
95.09	150.17
93.83	150.53
95.81	150.02
100.42	148.71
96.88	148.55
92.71	154.64
98.95	155.06
98.18	155.93
103.96	159.62
100.11	161.91
99.40	167.98
91.25	170.69
87.14	170.20
90.24	170.03
89.00	170.15
87.47	169.69
87.75	160.62
94.68	161.28
90.32	157.63
94.43	162.16
93.76	159.73
94.48	163.15
99.03	161.31
97.75	163.95
102.61	165.23
96.15	161.92
96.59	164.09
100.14	162.02
95.58	163.47
90.09	162.70
87.35	153.87
89.34	153.32
91.47	158.83
82.87	161.50
82.27	167.04
83.17	168.36
80.15	163.60
93.80	172.03
91.53	177.62
