Object Tracking Data File Wed, Jan 31, 2024 3:19 PM
X (pixels)  	Y (pixels)  
349.55	429.76
351.33	434.77
353.29	434.15
350.07	433.21
348.96	433.68
349.41	438.03
350.48	435.50
352.98	436.30
349.23	438.20
347.66	436.71
350.17	428.57
346.20	424.85
348.81	422.89
347.54	419.81
347.05	419.74
349.00	414.47
344.30	413.12
348.69	418.85
344.94	413.64
349.21	415.71
347.36	417.81
346.13	414.91
347.56	416.15
346.67	411.76
347.30	406.41
344.22	408.99
337.80	409.10
347.83	411.44
352.38	412.53
350.82	412.30
353.83	418.69
352.62	417.23
357.45	422.90
357.44	430.89
357.64	436.57
359.81	437.23
368.36	435.15
360.26	435.92
357.64	431.10
361.19	430.04
360.32	430.02
353.93	436.78
351.11	439.29
348.59	436.95
343.58	437.24
341.81	435.78
346.60	438.31
345.98	437.09
348.56	438.78
346.71	437.96
348.74	438.86
347.63	441.74
342.06	445.37
344.31	444.36
345.47	438.75
346.10	437.39
347.79	439.74
357.87	434.70
363.89	440.67
368.14	438.52
377.13	436.46
375.79	429.85
379.40	428.12
379.45	432.18
382.32	432.52
384.64	426.50
386.63	426.69
387.07	423.82
387.69	420.53
387.72	428.17
390.12	426.21
394.53	430.67
391.41	433.48
394.46	430.82
393.84	433.13
397.58	434.35
390.31	437.09
385.13	438.24
382.46	436.79
384.04	440.31
387.83	441.46
387.37	438.62
396.23	440.55
392.18	442.66
392.68	445.78
391.43	450.72
392.60	449.43
395.96	446.73
396.09	443.70
395.57	439.14
399.96	444.30
395.55	439.27
405.90	441.18
405.57	439.58
402.05	439.84
403.32	437.95
408.92	436.59
408.54	433.96
405.65	429.93
405.23	434.44
408.12	437.78
404.96	435.61
406.71	432.41
404.69	430.48
403.88	426.59
407.94	425.49
412.55	428.72
414.13	429.42
408.35	432.42
410.95	426.29
413.23	425.52
409.70	422.28
405.20	421.97
401.18	420.37
401.71	420.99
405.52	420.89
406.43	415.20
408.83	409.77
407.06	413.69
406.52	412.76
